adm2_pcode,adm2_en,adm1_pcode
PH01028,Ilocos Norte,PH01
PH01029,Ilocos Sur,PH01
PH01033,La Union,PH01
PH01055,Pangasinan,PH01
PH02009,Batanes,PH02
PH02015,Cagayan,PH02
PH02031,Isabela,PH02
PH02050,Nueva Vizcaya,PH02
PH02057,Quirino,PH02
PH03008,Bataan,PH03
PH03014,Bulacan,PH03
PH03049,Nueva Ecija,PH03
PH03054,Pampanga,PH03
PH03069,Tarlac,PH03
PH03071,Zambales,PH03
PH03077,Aurora,PH03
PH04010,Batangas,PH04
PH04021,Cavite,PH04
PH04034,Laguna,PH04
PH04056,Quezon,PH04
PH04058,Rizal,PH04
PH05005,Albay,PH05
PH05016,Camarines Norte,PH05
PH05017,Camarines Sur,PH05
PH05020,Catanduanes,PH05
PH05041,Masbate,PH05
PH05062,Sorsogon,PH05
PH06004,Aklan,PH06
PH06006,Antique,PH06
PH06019,Capiz,PH06
PH06030,Iloilo,PH06
PH06045,Negros Occidental,PH06
PH06079,Guimaras,PH06
PH07012,Bohol,PH07
PH07022,Cebu,PH07
PH07046,Negros Oriental,PH07
PH07061,Siquijor,PH07
PH08026,Eastern Samar,PH08
PH08037,Leyte,PH08
PH08048,Northern Samar,PH08
PH08060,Samar (Western Samar),PH08
PH08064,Southern Leyte,PH08
PH08078,Biliran,PH08
PH09072,Zamboanga del Norte,PH09
PH09073,Zamboanga del Sur,PH09
PH09083,Zamboanga Sibugay,PH09
PH09097,City of Isabela (not a province),PH09
PH10013,Bukidnon,PH10
PH10018,Camiguin,PH10
PH10035,Lanao del Norte,PH10
PH10042,Misamis Occidental,PH10
PH10043,Misamis Oriental,PH10
PH11023,Davao del Norte,PH11
PH11024,Davao del Sur,PH11
PH11025,Davao Oriental,PH11
PH11082,Davao de Oro (Compostela Valley),PH11
PH11086,Davao Occidental,PH11
PH12047,Cotabato (North Cotabato),PH12
PH12063,South Cotabato,PH12
PH12065,Sultan Kudarat,PH12
PH12080,Sarangani,PH12
PH13039,Metropolitan Manila First District,PH13
PH13074,Metropolitan Manila Second District,PH13
PH13075,Metropolitan Manila Third District,PH13
PH13076,Metropolitan Manila Fourth District,PH13
PH14001,Abra,PH14
PH14011,Benguet,PH14
PH14027,Ifugao,PH14
PH14032,Kalinga,PH14
PH14044,Mountain Province,PH14
PH14081,Apayao,PH14
PH16002,Agusan del Norte,PH16
PH16003,Agusan del Sur,PH16
PH16067,Surigao del Norte,PH16
PH16068,Surigao del Sur,PH16
PH16085,Dinagat Islands,PH16
PH17040,Marinduque,PH17
PH17051,Occidental Mindoro,PH17
PH17052,Oriental Mindoro,PH17
PH17053,Palawan,PH17
PH17059,Romblon,PH17
PH19007,Basilan,PH19
PH19036,Lanao del Sur,PH19
PH19066,Sulu,PH19
PH19070,Tawi-Tawi,PH19
PH19087,Maguindanao del Norte,PH19
PH19088,Maguindanao del Sur,PH19
PH19099,Special Geographic Area,PH19
